experiment;temperature [K];pressure [Pa];uptake [mol/g]
Experiment A;303;7.70E+00;0.000771
Experiment A;303;9.60E+00;0.00105
Experiment A;303;18.3;0.0013
Experiment A;303;32.7;0.00175
Experiment A;303;29.8;0.00187
Experiment A;303;45.2;0.00228
Experiment A;303;69.2;0.00287
Experiment A;303;77.9;0.00291
Experiment A;303;78.8;0.00281
Experiment A;303;99;0.00315
Experiment A;303;110;0.00332
Experiment A;303;114;0.00328
Experiment A;303;120;0.00332
Experiment A;303;152;0.00339
Experiment B;343;196;0.00345
Experiment B;343;225;0.00353
Experiment B;343;254;0.00359
Experiment B;343;283;0.00378
Experiment B;343;305;0.00456
Experiment B;343;327;0.057
Experiment B;343;414;0.06373
