experiment;temperature;pressure [Pa];uptake [mol/g]
"10.100215214125200211052511<1060aidceat1060>3.0.co;27.Isotherm3";303;7.70E+00;0.000771
"10.100215214125200211052511<1060aidceat1060>3.0.co;27.Isotherm3";303;9.60E+00;0.00105
"10.100215214125200211052511<1060aidceat1060>3.0.co;27.Isotherm3";303;18.3;0.0013
"10.100215214125200211052511<1060aidceat1060>3.0.co;27.Isotherm3";303;32.7;0.00175
"10.100215214125200211052511<1060aidceat1060>3.0.co;27.Isotherm3";303;29.8;0.00187
"10.100215214125200211052511<1060aidceat1060>3.0.co;27.Isotherm3";303;45.2;0.00228
"10.100215214125200211052511<1060aidceat1060>3.0.co;27.Isotherm3";303;69.2;0.00287
"10.100215214125200211052511<1060aidceat1060>3.0.co;27.Isotherm4";303;77.9;0.00291
"10.100215214125200211052511<1060aidceat1060>3.0.co;27.Isotherm4";303;78.8;0.00281
"10.100215214125200211052511<1060aidceat1060>3.0.co;27.Isotherm4";303;99;0.00315
"10.100215214125200211052511<1060aidceat1060>3.0.co;27.Isotherm4";303;110;0.00332
"10.100215214125200211052511<1060aidceat1060>3.0.co;27.Isotherm4";303;114;0.00328
"10.100215214125200211052511<1060aidceat1060>3.0.co;27.Isotherm4";303;120;0.00332
"10.100215214125200211052511<1060aidceat1060>3.0.co;27.Isotherm4";303;152;0.00339
10.1002adem.200500223.isotherm1;303;196;0.00345
10.1002adem.200500223.isotherm1;303;225;0.00353
10.1002adem.200500223.isotherm1;303;254;0.00359
10.1002adem.200500223.isotherm1;303;283;0.00359
10.1002adem.200500223.isotherm1;303;305;0.0036
10.1002adem.200500223.isotherm1;303;327;0.0037
10.1002adem.200500223.isotherm1;303;414;0.00373
10.1002adem.200500223.isotherm1;303;13.3;0.00135
10.1002adem.200500223.isotherm1;303;24.4;0.0019
10.1002adem.200500223.isotherm1;303;35.4;0.00232
10.1002adem.200500223.isotherm1;303;62;0.00282
10.1002adem.200500223.isotherm1;303;77.5;0.00291
10.1002adem.200500223.isotherm2;303;80.3;0.00292
10.1002adem.200500223.isotherm2;303;136;0.00305
10.1002adem.200500223.isotherm2;303;195;0.00316
10.1002adem.200500223.isotherm2;303;254;0.00317
10.1002adem.200500223.isotherm2;31;0;0
10.1002adem.200500223.isotherm2;31;311.7;0.000439
10.1002adem.200500223.isotherm2;31;623.4;0.001088
10.1002adem.200500223.isotherm2;31;1246.7;0.001333
10.1002adem.200500223.isotherm2;31;1870.1;0.001421
10.1002adem.200500223.isotherm2;31;2181.8;0.001509
10.1002adem.200500223.isotherm2;31;2805.2;0.001632
10.1002adem.200500223.isotherm2;31;3116.9;0.001684
10.1002adem.200500223.isotherm3;31;3740.3;0.001772
10.1002adem.200500223.isotherm3;31;4987;0.001842
10.1002adem.200500223.isotherm3;31;5610.4;0.001895
10.1002adem.200500223.isotherm3;31;6233.8;0.001912
10.1002adem.200500223.isotherm3;31;7168.8;0.001982
10.1002adem.200500223.isotherm3;31;8103.9;0.002018
10.1002adem.200500223.isotherm3;31;8727.3;0.002053
10.1002adem.200500223.isotherm3;31;9974;0.002088
10.1002adem.200500223.isotherm3;31;11844.2;0.00214
10.1002adem.200500223.isotherm3;31;12779.2;0.002175
10.1002adem.200500223.isotherm3;31;14337.7;0.002211
10.1002adem.200500223.isotherm3;31;15584.4;0.002246
10.1002adem.200500223.isotherm3;31;17142.9;0.002281
10.1002adem.200500223.isotherm3;31;18077.9;0.002316
10.1002adem.200500223.isotherm3;31;19324.7;0.002333
10.1002adem.200500223.isotherm3;31;20571.4;0.002351
10.1002adem.200500223.isotherm3;31;21818.2;0.002368
10.1002adem.200500223.isotherm3;31;22753.2;0.002404
10.1002adem.200500223.isotherm3;31;24000;0.002421
10.1002adem.201000246.Isotherm1;31;25246.8;0.002456
10.1002adem.201000246.Isotherm1;31;26493.5;0.002474
10.1002adem.201000246.Isotherm1;31;27116.9;0.002474
10.1002adem.201000246.Isotherm1;31;28051.9;0.002491
10.1002adem.201000246.Isotherm1;31;29298.7;0.002526
10.1002adem.201000246.Isotherm1;31;32103.9;0.002561
10.1002adem.201000246.Isotherm1;31;34597.4;0.002596
10.1002adem.201000246.Isotherm1;31;37402.6;0.002649
10.1002adem.201000246.Isotherm1;31;40519.5;0.002684
10.1002adem.201000246.Isotherm1;31;43948.1;0.002754
10.1002adem.201000246.Isotherm1;31;47064.9;0.002807
10.1002adem.201000246.Isotherm1;31;50805.2;0.002842
10.1002adem.201000246.Isotherm1;31;54233.8;0.002912
10.1002adem.201000246.Isotherm1;31;57662.3;0.002965
10.1002adem.201000246.Isotherm1;31;61090.9;0.003035
10.1002adem.201000246.Isotherm1;31;64831.2;0.003088
10.1002adem.201000246.Isotherm1;31;68571.4;0.00314
10.1002adem.201000246.Isotherm1;31;72311.7;0.003211
10.1002adem.201000246.Isotherm1;31;76363.6;0.003298
10.1002adem.201000246.Isotherm1;31;80103.9;0.003333
10.1002adem.201000246.Isotherm1;31;83844.2;0.003404
10.1002adem.201000246.Isotherm1;31;89766.2;0.003491
10.1002adem.201000246.Isotherm1;31;94129.9;0.003579
10.1002adem.201000246.Isotherm1;31;100052;0.003702
10.1002adem.201000246.Isotherm1;31;106286;0.003807
10.1002adem.201000246.Isotherm1;31;112519;0.003912
10.1002adem.201000246.Isotherm1;31;118442;0.004035
10.1002adem.201000246.Isotherm1;47;104.2;3.10E-05
10.1002adem.201000246.Isotherm1;47;233.8;7.80E-05
10.1002adem.201000246.Isotherm1;47;350.2;0.000141
10.1002adem.201000246.Isotherm1;47;503.8;0.000172
10.1002adem.201000246.Isotherm1;47;668.5;0.000219
