temperature;pressure [Pa];uptake [mol/g];min pressure [Pa];max pressure [Pa];min uptake [mol/g];max uptake [mol/g];langmuir K;langmuir qsat;langmuir K error;langmuir qsat error;sips_K
303;[7.7, 9.6, 18.3, 32.7, 29.8, 45.2, 69.2];[0.000771, 0.00105, 0.0013, 0.00175, 0.00187, 0.00228, 0.00287];7.7;69.2;0.000771;0.00287;0.024598611;0.0043859;41.32603295;3.817394534;2.65E-05
303;[77.9, 78.8, 99.0, 110.0, 114.0, 120.0, 152.0];[0.00291, 0.00281, 0.00315, 0.00332, 0.00328, 0.00332, 0.00339];77.9;152;0.00281;0.00339;0.024591178;0.004411152;67.18438828;3.370708987;0.000158039
303;[196.0, 225.0, 254.0, 283.0, 305.0, 327.0, 414.0, 13.3, 24.4, 35.4, 62.0, 77.5];[0.00345, 0.00353, 0.00359, 0.00359, 0.0036, 0.0037, 0.00373, 0.00135, 0.0019, 0.00232, 0.00282, 0.00291];13.3;414;0.00135;0.00373;0.039109745;0.003935687;27.78566036;0.549505873;0.041183672
303;[80.3, 136.0, 195.0, 254.0, 0.0, 311.7, 623.4, 1246.7, 1870.1, 2181.8, 2805.2, 3116.9];[0.00292, 0.00305, 0.00316, 0.00317, 0.0, 0.000439, 0.001088, 0.001333, 0.001421, 0.001509, 0.001632, 0.001684];0;3116.9;0;0.00317;2.70E-07;2.687025097;0.391133362;3884537.856;1.00E-06
31;[3740.3, 4987.0, 5610.4, 6233.8, 7168.8, 8103.9, 8727.3, 9974.0, 11844.2, 12779.2, 14337.7, 15584.4, 17142.9, 18077.9, 19324.7, 20571.4, 21818.2, 22753.2, 24000.0];[0.001772, 0.001842, 0.001895, 0.001912, 0.001982, 0.002018, 0.002053, 0.002088, 0.00214, 0.002175, 0.002211, 0.002246, 0.002281, 0.002316, 0.002333, 0.002351, 0.002368, 0.002404, 0.002421];3740.3;24000;0.001772;0.002421;0.000505557;0.002554424;0.76905915;0.628723436;1.00E-06
31;[25246.8, 26493.5, 27116.9, 28051.9, 29298.7, 32103.9, 34597.4, 37402.6, 40519.5, 43948.1, 47064.9, 50805.2, 54233.8, 57662.3, 61090.9, 64831.2, 68571.4, 72311.7, 76363.6, 80103.9, 83844.2, 89766.2, 94129.9, 100052.0, 106286.0, 112519.0, 118442.0, 104.2, 233.8, 350.2, 503.8, 668.5, 834.9, 981.3, 1153.4, 1411.7];[0.002456, 0.002474, 0.002474, 0.002491, 0.002526, 0.002561, 0.002596, 0.002649, 0.002684, 0.002754, 0.002807, 0.002842, 0.002912, 0.002965, 0.003035, 0.003088, 0.00314, 0.003211, 0.003298, 0.003333, 0.003404, 0.003491, 0.003579, 0.003702, 0.003807, 0.003912, 0.004035, 3.1e-05, 7.8e-05, 0.000141, 0.000172, 0.000219, 0.000266, 0.000313, 0.000344, 0.000422];104.2;118442;3.10E-05;0.004035;4.08E-05;0.004460557;0.026545187;0.880969576;1.00E-06
47;[1561.7, 1763.0, 1911.3, 2072.2, 2387.0, 83.4, 198.9, 316.6, 668.5, 869.3, 1085.6, 1302.1, 1561.7, 1798.9, 1950.3, 2114.5, 2292.4, 2435.7, 2694.6, 2862.9, 3041.8, 3297.8, 3575.4, 3876.3, 4118.4, 4465.1, 4744.1];[0.000453, 0.0005, 0.000516, 0.000578, 0.000656, 3.1e-05, 4.7e-05, 7.8e-05, 0.000125, 0.000156, 0.000203, 0.000234, 0.000266, 0.000297, 0.000313, 0.000344, 0.000375, 0.000375, 0.000406, 0.000438, 0.000438, 0.000469, 0.0005, 0.000516, 0.000547, 0.000594, 0.000594];83.4;4744.1;3.10E-05;0.000656;1.26E-07;1.252486219;0.415345978;4142970.954;1.01E-06
46;[5040.4, 5355.4, 125.0, 258.7, 403.4, 535.3, 682.2, 887.0, 1063.9];[0.000609, 0.000625, 1.6e-05, 4.7e-05, 6.3e-05, 9.4e-05, 9.4e-05, 0.000109, 0.000109];125;5355.4;1.60E-05;0.000625;1.09E-07;1.091844831;1.003405003;10027177.88;1.00E-06
50;[1225.5, 1469.9, 1763.0, 2114.5, 2435.7, 2805.6, 3167.2, 3365.1, 3876.3, 4036.1, 4288.3, 4939.7, 5355.4, 5690.0];[0.000125, 0.000156, 0.000188, 0.000219, 0.00025, 0.00025, 0.000281, 0.000297, 0.000344, 0.000359, 0.000375, 0.000406, 0.000422, 0.000453];1225.5;5690;0.000125;0.000453;9.31E-08;0.930616163;0.640624873;6402346.83;1.00E-06
50;[6168.9, 6688.1, 7106.0, 7398.9, 8185.3, 8696.8, 0.0];[0.000469, 0.000516, 0.000547, 0.000547, 0.000594, 0.000609, 0.0];0;8696.8;0;0.000609;8.60E-08;0.859900449;0.740306834;7395553.382;1.00E-06
31;[311.7, 935.1, 1246.7, 1558.4, 2181.8, 3740.3, 5298.7, 7168.8, 8727.3, 9350.7];[0.001105, 0.001175, 0.001298, 0.001509, 0.001614, 0.001684, 0.001807, 0.001895, 0.00193, 0.001965];311.7;9350.7;0.001105;0.001965;0.002344643;0.001952361;4.079406408;0.590920536;1.00E-06
